rank,symbol,name,predicted_return,confidence,reason
1,000737,北方铜业,-0.055406659841537476,1.0,RSI 66.3 | 20日动量 8.4% | 量比 1.48x
2,002050,三花智控,-0.0649556815624237,0.8871432677351728,RSI 60.9 | 20日动量 7.7% | 量比 1.59x
3,601689,拓普集团,-0.065737783908844,0.8778998585469219,RSI 59.7 | 20日动量 3.0% | 量比 1.32x
4,601600,中国铝业,-0.06883129477500916,0.8413386758639345,RSI 52.1 | 20日动量 -1.2% | 量比 1.23x
5,601166,兴业银行,-0.07447436451911926,0.7746450992989338,RSI 56.3 | 20日动量 6.7% | 量比 0.92x
6,600036,招商银行,-0.07489967346191406,0.7696185134464958,RSI 55.5 | 20日动量 5.0% | 量比 1.09x
7,000878,云南铜业,-0.07517661154270172,0.7663454737832781,RSI 50.9 | 20日动量 -2.8% | 量比 1.78x
8,000333,美的集团,-0.0791003406047821,0.7199722165866415,RSI 46.5 | 20日动量 0.4% | 量比 0.84x
9,600362,江西铜业,-0.07914313673973083,0.719466423209576,RSI 48.7 | 20日动量 -2.0% | 量比 1.28x
10,601398,工商银行,-0.07923391461372375,0.718393549514213,RSI 54.7 | 20日动量 5.9% | 量比 1.03x
