rank,symbol,name,predicted_return,confidence,reason
1,002459,晶澳科技,-0.151475727558136,1.0,RSI 24.0 | 20日动量 -19.3% | 量比 0.88x
2,002129,TCL中环,-0.15231963992118835,0.9824631808546017,RSI 24.5 | 20日动量 -14.8% | 量比 0.78x
3,601012,隆基绿能,-0.1543751358985901,0.9397491944408835,RSI 24.9 | 20日动量 -14.0% | 量比 0.97x
4,600438,通威股份,-0.15658779442310333,0.8937693106593911,RSI 26.0 | 20日动量 -16.2% | 量比 0.91x
5,603260,合盛硅业,-0.1577906757593155,0.8687729800330336,RSI 22.9 | 20日动量 -13.1% | 量比 1.00x
6,600276,恒瑞医药,-0.15875066816806793,0.8488239734888529,RSI 27.7 | 20日动量 -8.1% | 量比 0.72x
7,600089,特变电工,-0.15882784128189087,0.8472202868985711,RSI 27.8 | 20日动量 -6.9% | 量比 0.80x
8,600031,三一重工,-0.15938368439674377,0.8356696560449912,RSI 27.4 | 20日动量 -7.9% | 量比 0.88x
9,600795,国电电力,-0.1604093313217163,0.8143563237397018,RSI 27.9 | 20日动量 -9.9% | 量比 0.91x
10,600309,万华化学,-0.1606421321630478,0.8095186339154168,RSI 29.0 | 20日动量 -10.9% | 量比 0.81x
