rank,symbol,name,predicted_return,confidence,reason
1,002459,晶澳科技,-0.18867769837379456,1.0,RSI 31.1 | 20日动量 -14.6% | 量比 1.04x
2,600438,通威股份,-0.18992310762405396,0.9731202542026739,RSI 32.6 | 20日动量 -12.2% | 量比 0.99x
3,600886,国投电力,-0.19364020228385925,0.8928939675106856,RSI 38.7 | 20日动量 -9.3% | 量比 0.89x
4,600795,国电电力,-0.19426128268241882,0.8794891503957444,RSI 35.6 | 20日动量 -9.9% | 量比 0.94x
5,600309,万华化学,-0.19491684436798096,0.8653401215052761,RSI 35.2 | 20日动量 -7.8% | 量比 0.94x
6,600050,中国联通,-0.19765183329582214,0.8063106842953305,RSI 37.4 | 20日动量 -7.9% | 量比 1.04x
7,601012,隆基绿能,-0.19911623001098633,0.7747045183367478,RSI 35.5 | 20日动量 -10.4% | 量比 1.14x
8,600104,上汽集团,-0.19986197352409363,0.7586090894179776,RSI 44.3 | 20日动量 -6.5% | 量比 0.92x
9,600150,中国船舶,-0.20077836513519287,0.7388305519195454,RSI 38.2 | 20日动量 -5.0% | 量比 1.11x
10,603260,合盛硅业,-0.20122700929641724,0.7291474369076296,RSI 34.2 | 20日动量 -10.8% | 量比 1.65x
