rank,symbol,name,predicted_return,confidence,reason
1,002459,晶澳科技,-0.15828236937522888,1.0,RSI 24.0 | 20日动量 -19.3% | 量比 0.88x
2,603260,合盛硅业,-0.15903154015541077,0.9900993023667071,RSI 22.9 | 20日动量 -13.1% | 量比 1.00x
3,002129,TCL中环,-0.16109350323677063,0.9628493434259691,RSI 24.5 | 20日动量 -14.8% | 量比 0.78x
4,601012,隆基绿能,-0.16547086834907532,0.9050000925556506,RSI 24.9 | 20日动量 -14.0% | 量比 0.97x
5,600438,通威股份,-0.16688965260982513,0.8862500900940641,RSI 26.0 | 20日动量 -16.2% | 量比 0.91x
6,002294,信立泰,-0.17050950229167938,0.8384118159300484,RSI 26.5 | 20日动量 -15.2% | 量比 0.74x
7,600276,恒瑞医药,-0.17138341069221497,0.826862643082174,RSI 27.7 | 20日动量 -8.1% | 量比 0.72x
8,600089,特变电工,-0.172756165266037,0.8087209478643866,RSI 27.8 | 20日动量 -6.9% | 量比 0.80x
9,600795,国电电力,-0.1733310967683792,0.801122916660923,RSI 27.9 | 20日动量 -9.9% | 量比 0.91x
10,600030,中信证券,-0.17357932031154633,0.7978425080927116,RSI 28.3 | 20日动量 -12.3% | 量比 0.77x
