rank,symbol,name,predicted_return,confidence,reason
1,601689,拓普集团,-0.0548875629901886,1.0,RSI 69.9 | 20日动量 15.8% | 量比 1.12x
2,000737,北方铜业,-0.05628038942813873,0.9762701081200196,RSI 69.1 | 20日动量 13.4% | 量比 1.92x
3,002050,三花智控,-0.05631314218044281,0.9757120922396696,RSI 69.5 | 20日动量 20.5% | 量比 0.94x
4,601600,中国铝业,-0.0633261501789093,0.8562299248836494,RSI 55.7 | 20日动量 2.4% | 量比 0.97x
5,600036,招商银行,-0.06435352563858032,0.8387263020962915,RSI 62.3 | 20日动量 5.9% | 量比 1.18x
6,601166,兴业银行,-0.06713628768920898,0.7913157699654426,RSI 61.7 | 20日动量 8.1% | 量比 1.09x
7,600111,北方稀土,-0.06933633983135223,0.753832995341913,RSI 54.2 | 20日动量 0.0% | 量比 1.41x
8,600362,江西铜业,-0.07081428170204163,0.7286529730212777,RSI 52.2 | 20日动量 0.6% | 量比 1.55x
9,000878,云南铜业,-0.07191519439220428,0.7098964801840894,RSI 54.2 | 20日动量 -0.3% | 量比 1.33x
10,600549,厦门钨业,-0.07400086522102356,0.6743624452773781,RSI 51.6 | 20日动量 -2.4% | 量比 1.33x
