rank,symbol,name,predicted_return,confidence,reason
1,600309,万华化学,-0.18729054927825928,1.0,RSI 33.5 | 20日动量 -10.7% | 量比 0.67x
2,600795,国电电力,-0.18951483070850372,0.950020876393336,RSI 34.1 | 20日动量 -8.7% | 量比 0.77x
3,600150,中国船舶,-0.18990135192871094,0.9413358280093229,RSI 33.7 | 20日动量 -10.5% | 量比 1.14x
4,603260,合盛硅业,-0.1911085546016693,0.9142102445333816,RSI 33.6 | 20日动量 -10.5% | 量比 1.07x
5,600406,国电南瑞,-0.1913747787475586,0.908228245442099,RSI 34.8 | 20日动量 -5.3% | 量比 1.05x
6,600050,中国联通,-0.19182132184505463,0.8981945184316622,RSI 36.2 | 20日动量 -8.3% | 量比 0.79x
7,600104,上汽集团,-0.19206063449382782,0.8928172148714921,RSI 40.6 | 20日动量 -10.8% | 量比 0.76x
8,002415,海康威视,-0.19285252690315247,0.8750235633709867,RSI 35.4 | 20日动量 -8.2% | 量比 1.04x
9,601727,上海电气,-0.19503846764564514,0.8259059467419266,RSI 39.4 | 20日动量 -14.4% | 量比 0.88x
10,600031,三一重工,-0.19552019238471985,0.8150816958394872,RSI 35.5 | 20日动量 -6.9% | 量比 1.16x
