rank,symbol,name,predicted_return,confidence,reason
1,002459,晶澳科技,-0.16863350570201874,1.0,RSI 31.1 | 20日动量 -14.6% | 量比 1.04x
2,600438,通威股份,-0.16958267986774445,0.9690361782541592,RSI 32.6 | 20日动量 -12.2% | 量比 0.99x
3,000333,美的集团,-0.17183327674865723,0.8956175337538129,RSI 48.0 | 20日动量 2.0% | 量比 0.92x
4,600886,国投电力,-0.17198634147644043,0.8906242784400938,RSI 38.7 | 20日动量 -9.3% | 量比 0.89x
5,600795,国电电力,-0.1725616604089737,0.8718563078007462,RSI 35.6 | 20日动量 -9.9% | 量比 0.94x
6,600309,万华化学,-0.17323002219200134,0.850053106809095,RSI 35.2 | 20日动量 -7.8% | 量比 0.94x
7,601012,隆基绿能,-0.17386847734451294,0.8292255155735414,RSI 35.5 | 20日动量 -10.4% | 量比 1.14x
8,600050,中国联通,-0.17615839838981628,0.7545240438951475,RSI 37.4 | 20日动量 -7.9% | 量比 1.04x
9,600150,中国船舶,-0.17630216479301453,0.7498341171752525,RSI 38.2 | 20日动量 -5.0% | 量比 1.11x
10,603260,合盛硅业,-0.1774241328239441,0.713233439060848,RSI 34.2 | 20日动量 -10.8% | 量比 1.65x
