rank,symbol,name,predicted_return,confidence,reason
1,002050,三花智控,-0.05657567083835602,1.0,RSI 71.1 | 20日动量 23.8% | 量比 1.22x
2,600036,招商银行,-0.0579301118850708,0.9771206417648028,RSI 67.7 | 20日动量 7.8% | 量比 1.31x
3,601689,拓普集团,-0.0623837411403656,0.9018894757972662,RSI 63.7 | 20日动量 12.3% | 量比 0.78x
4,601166,兴业银行,-0.06428703665733337,0.8697388110889185,RSI 64.5 | 20日动量 8.3% | 量比 1.12x
5,000737,北方铜业,-0.06492531299591064,0.85895698116817,RSI 61.7 | 20日动量 11.7% | 量比 0.96x
6,601988,中国银行,-0.07378378510475159,0.7093187541768453,RSI 57.9 | 20日动量 3.4% | 量比 1.13x
7,000651,格力电器,-0.07389205694198608,0.7074898151049828,RSI 56.3 | 20日动量 7.7% | 量比 0.87x
8,600111,北方稀土,-0.0746595561504364,0.6945251391023196,RSI 51.9 | 20日动量 -0.6% | 量比 0.97x
9,601600,中国铝业,-0.07511138916015625,0.6868927291742967,RSI 50.5 | 20日动量 1.3% | 量比 0.90x
10,601869,长飞光纤,-0.07602913677692413,0.6713900415198871,RSI 53.8 | 20日动量 6.5% | 量比 1.73x
